Soil texture,Rainfall,SPI,TWI,Distance to river,Aspect,NDVI,Land cover,Profile curvature,Plan curvature,Slope,Altitude,Lithology
7,311,1005,3,2053,85,9,5,0,0,24,2012,5
7,311,3068,3,2141,45,8,4,0,-1,17,1979,5
7,311,735,3,2229,39,12,4,0,1,11,1971,5
7,311,879,3,2347,310,14,4,0,0,13,1970,5
7,311,195,3,2436,343,12,4,-1,1,8,1991,5
7,315,210,3,276,151,13,5,0,0,5,1697,6
7,315,315,3,342,172,11,5,0,0,12,1702,5
7,315,227,4,361,315,10,5,0,0,2,1695,5
7,315,503,3,295,332,14,4,0,0,10,1718,5
7,314,54,4,241,309,12,4,0,0,3,1729,5
7,314,293,3,212,169,11,5,0,0,14,1731,5
7,314,432,4,150,160,11,5,0,0,7,1713,5
7,314,1105,3,67,196,9,5,0,0,20,1725,5
7,314,3078,4,0,214,12,4,0,0,10,1734,5
7,314,655,2,30,282,13,4,0,0,14,1764,5
7,314,840,3,84,276,14,4,0,0,21,1800,5
7,314,970,3,150,264,13,4,0,1,23,1831,5
7,314,663,3,254,184,12,4,0,0,16,1856,5
7,314,2032,3,324,207,13,4,0,0,28,1868,5
7,313,1593,3,402,192,10,5,0,0,28,1886,5
7,313,4086,3,499,235,9,4,0,0,33,1915,5
7,313,1715,3,553,207,12,5,0,0,24,1950,5
7,313,1122,3,615,169,10,5,-1,0,26,1959,5
7,313,6094,3,702,216,10,5,0,-1,20,1942,5
7,313,1671,3,774,218,12,4,0,0,23,1979,5
7,313,3676,3,849,182,7,5,0,0,33,1986,5
9,313,8455,3,952,224,8,5,0,0,25,2006,5
9,313,3638,3,1033,241,6,5,0,0,24,2054,5
9,312,6093,3,1114,249,11,4,-1,1,26,2087,5
9,312,1691,2,1225,224,13,4,0,0,24,2133,5
7,312,204,3,1309,234,12,4,-1,1,10,2155,5
7,312,446,2,1394,65,10,4,0,0,27,2133,5
9,312,472,2,1508,110,5,5,0,0,19,2095,5
9,312,1110,2,1594,107,6,5,0,0,27,2064,5
7,312,947,3,1679,151,9,5,0,0,26,2039,5
7,312,930,2,1793,138,8,5,-2,1,36,2019,5
6,312,2784,3,1879,178,8,5,0,0,31,1982,5
6,312,2347,2,1965,171,6,5,1,0,33,1977,5
7,311,1689,2,2081,198,7,5,0,0,26,2003,5
7,311,106,3,2168,187,7,5,-1,0,5,2014,5
6,311,555,3,2255,13,8,4,0,0,19,2005,5
6,311,284,3,2372,92,9,5,0,0,13,2002,5
7,311,1069,3,2460,168,10,5,0,0,15,1968,5
7,311,567,3,2547,120,9,5,0,0,17,1958,5
