Soil texture,Rainfall,SPI,TWI,Distance to river,Aspect,NDVI,Land cover,Profile curvature,Plan curvature,Slope,Altitude,Lithology,Longitude,Latitude
7,306,836,3,84,198,13,5,0,0,21,1038,3,53.28968162010,28.60611636980
9,311,257,6,1516,191,10,5,0,0,2,1373,1,53.50851548570,28.82569245780
9,341,1237,4,960,101,10,5,0,0,7,1265,9,53.03869748160,28.84995524050
7,292,294,4,1106,254,14,5,0,0,2,1003,1,53.49691805600,28.56883963470
7,306,524,3,872,52,11,5,0,0,8,1287,1,53.51766716360,28.76987216750
7,287,3551,4,426,73,11,5,0,0,11,1168,3,53.50102353500,28.49376567960
7,296,95,4,1166,67,13,5,0,0,10,1202,2,53.26216706660,28.46466017650
7,315,4540,3,1862,247,13,4,1,0,32,1665,3,53.21319754660,28.66574256770
9,322,606,3,1320,20,13,5,0,0,21,1031,9,53.09858757770,28.69067639090
9,303,446,5,591,13,10,5,0,0,7,1214,9,53.51572955250,28.73614242300
7,262,799,4,1617,21,10,4,1,-1,15,1937,3,53.85300345050,28.36925938160
9,298,6962,3,547,183,10,5,0,0,36,1180,3,53.46305684400,28.62090591290
9,336,1256,3,901,271,15,3,0,0,10,1179,10,53.09693351790,28.80806319410
7,295,39,5,180,175,12,5,0,0,3,1014,10,53.48605832290,28.60292369170
7,281,283,3,234,0,12,5,0,0,6,1327,3,53.54277147790,28.42986872090
9,271,596,4,3209,207,10,5,0,0,9,1310,2,53.81441994620,28.59156664330
9,276,609,5,1975,347,31,3,0,0,6,1182,1,53.76085082940,28.62092138300
9,274,392,4,30,237,10,5,0,0,10,1207,12,53.61413209020,28.36624457290
7,331,117,4,1890,266,14,4,0,0,4,1966,8,53.01173470820,28.75189566540
7,319,3222,2,750,275,11,4,0,1,29,1588,3,53.19540239460,28.69254309880
4,278,228,5,417,331,40,3,0,0,3,1156,1,53.66033550550,28.51556095120
7,284,367,5,150,244,8,5,0,0,3,1043,1,53.64651092250,28.60460376950
7,336,1853,3,690,90,12,5,1,0,18,1400,2,52.99537964840,28.80297865440
9,270,608,5,3440,270,13,5,0,0,0,1071,1,53.65320302480,28.33090704940
9,304,125,5,394,165,10,5,0,0,3,1200,9,53.51699094970,28.74678897160
9,308,259,5,570,210,8,5,0,0,1,1316,1,53.52331157900,28.80277284040
9,314,892,4,807,246,14,4,0,0,10,1399,3,53.47214665630,28.82299748840
9,285,256,4,818,278,8,2,0,0,5,1035,1,53.65613256000,28.63214607290
9,298,19493,4,1063,274,15,5,2,0,8,1224,3,53.49149654620,28.65654007860
7,300,2724,4,494,219,9,5,0,0,11,1286,1,53.50250884470,28.68729366980
7,269,3443,3,1008,200,10,5,0,0,20,1523,5,53.70319001900,28.36860347950
9,325,2867,2,1997,24,12,4,0,1,39,1301,2,53.08858325030,28.71287536270
7,287,76,4,30,115,9,6,0,0,5,1018,1,53.59703369660,28.59945092690
7,336,2275,3,1080,103,8,5,0,0,32,1255,10,53.09864565330,28.81206541180
7,292,2530,5,2050,223,11,4,0,0,10,1363,3,53.64871875020,28.75427203690
7,277,0,8,2671,20,9,5,0,0,8,1171,1,53.70850191480,28.55438133020
7,332,2429,4,466,56,19,4,0,0,11,1470,2,52.82966349210,28.78236853620
7,298,1124,4,1843,131,13,5,0,0,5,1035,10,53.27401869430,28.50082072910
4,265,812,3,1507,80,11,5,1,0,19,2512,5,53.79257966970,28.36717466730
7,298,531,4,1261,101,7,5,0,0,6,1054,10,53.28915334100,28.49610042370
7,315,931,2,577,1,14,4,0,0,22,1406,8,53.04246988920,28.61483218180
7,310,4278,3,30,61,15,4,1,-3,17,2013,3,53.37627592170,28.69712626270
7,316,166,4,1206,80,7,5,0,0,5,1232,1,53.42691318980,28.79625931530
9,299,52,6,123,99,7,2,0,0,2,1073,1,53.54127957160,28.71209869220
9,303,955,3,2073,93,13,5,0,0,14,1510,3,53.42093145570,28.65175025210
7,315,632,3,657,144,8,5,0,0,15,1148,8,53.06912976550,28.61807794660
7,305,9959,3,967,73,13,5,1,0,24,1042,3,53.28732885300,28.59680569780
7,286,1396,4,2714,339,19,3,0,0,10,1026,1,53.58423206520,28.57331495450
9,315,8654,2,1637,221,11,4,0,0,46,1586,3,53.20893975780,28.66730766690
9,328,453,2,3064,239,12,4,0,0,20,1579,8,52.98032334230,28.73285138230
7,269,300,4,474,65,10,5,0,0,8,1446,1,53.69157800760,28.34269346560
7,286,673,5,894,36,46,3,0,0,4,1161,2,53.48488559940,28.46690691180
9,272,3637,4,60,13,7,5,0,0,5,1031,10,53.61619583700,28.33717956540
7,325,66,5,1256,210,15,5,0,0,1,1150,2,53.05596733600,28.71680034520
9,266,70,4,1352,188,9,5,0,0,18,1328,9,53.87283329400,28.53988699470
7,293,165,3,902,147,7,2,0,0,3,1092,9,53.59494857810,28.69126826390
9,280,2301,3,563,242,7,5,0,0,4,1219,2,53.74060758640,28.65637015370
9,292,320,4,271,45,7,6,0,0,12,1010,1,53.55092951150,28.63032573130
7,336,25714,3,84,32,12,4,4,-3,48,1758,2,52.98223142360,28.80276681600
9,295,93,4,1116,225,7,5,0,0,3,1157,9,53.57878865680,28.70888269370
9,278,58,5,390,191,9,5,0,0,2,1106,9,53.73236372180,28.60707894920
9,272,545,4,402,146,11,5,0,0,6,1145,1,53.63198583890,28.35161162760
4,308,42,6,708,167,-17,1,0,0,4,809,2,53.13152220400,28.55926457940
7,323,15,6,60,288,16,3,0,0,0,1094,9,52.99127997110,28.67965587560
7,298,523,3,800,255,8,5,0,0,9,1027,10,53.28087713740,28.50873148090
7,286,75,5,30,284,17,5,0,0,1,1025,1,53.56583465100,28.55495983070
9,335,3265,4,1036,262,13,5,0,0,14,1100,10,53.09535254560,28.80112356930
7,324,1120,4,670,207,8,5,0,0,6,1132,9,52.98704066950,28.69610442390
7,261,614,3,276,219,13,4,0,0,20,1480,2,53.90250672750,28.39632328710
7,310,2744,3,715,57,11,4,0,0,18,1398,1,53.41212800830,28.72283884820
6,309,55,6,254,101,-17,1,0,0,3,820,1,53.11917244190,28.55925243880
4,273,1280,4,1849,24,13,4,1,0,16,2375,5,53.67985771390,28.41534889420
7,279,122,5,873,337,13,5,0,0,4,1073,1,53.70015678270,28.59545167670
